image,xmin,ymin,xmax,ymax,label
103.jpg,693.5466976264189,341.48678325688076,740.4987100103199,382.3320240825688,pus
103.jpg,566.1154540763674,236.55111811926608,725.7988906088752,382.56012041284407,ep
103.jpg,910.0724974200207,124.24360665137614,1101.4238906088751,380.2930905963303,ep
103.jpg,1085.611197110423,0,1280,286.4404816513762,ep
103.jpg,506.4496835504007,366.2533215974507,558.3756670969482,419.305953176398,rbc
103.jpg,600.4358635979729,182.35815750925167,636.1836465371621,218.1110003229137,rbc
103.jpg,634.3715487250643,195.40163535111557,674.7318738939832,236.9210861520309,pus
103.jpg,191.5607027228121,502.65104608950406,241.1463234998391,556.8570133444919,pus
103.jpg,44.20423855775418,636.6007191812965,101.86186102397039,693.113340190128,pus
1.jpg,820.6833075335397,23.44038130733945,866.9689112487099,74.10950401376147,pus
1.jpg,638.9427244582043,341.11715883027523,696.5681114551082,400.3042861238533,pus
1.jpg,689.9700043235199,461.8408180778032,747.627626789736,509.4692505720824,pus
1.jpg,975.6499356499356,278.6052803371264,1027.5418275418274,331.65789431783645,pus
1.jpg,1015.2140695382882,325.89130392882043,1065.9528786599099,376.63731695039866,pus
1.jpg,166.9135974702381,241.62356430951286,220.24693080357142,289.05884033203125,pus
1.jpg,661.389839616402,653.6894109030331,711.1676173941798,708.2400353285846,pus
