"image","xmin","ymin","xmax","ymax","label"
"1.jpg",821.7853457172342,24.64678899082569,865.8668730650154,72.90309633027523,"pus"
"1.jpg",640.3147574819401,342.526376146789,695.1960784313725,398.8950688073395,"pus"
"1.jpg",691.3428048584298,462.97482837528605,746.2548262548262,508.3352402745995,"pus"
"1.jpg",976.8854568854568,279.86843781285756,1026.3063063063062,330.39473684210526,"pus"
"1.jpg",1016.4221364221363,327.0995423340961,1064.7448117760616,375.429078545123,"pus"
"103.jpg",694.6646026831785,342.4592889908257,739.3808049535603,381.35951834862385,"pus"
"103.jpg",569.9174406604748,240.02752293577984,721.9969040247679,379.0837155963303,"ep"
"103.jpg",914.6284829721362,130.3400229357798,1096.8679050567596,374.1966743119266,"ep"
"103.jpg",1090.283797729618,0,1277.18782249742,279.454128440367,"ep"
"103.jpg",510.8426132860666,72.77960526315789,510.8426132860666,72.77960526315789,"point-pus"
"103.jpg",545.5651780209616,58.04277118883635,545.5651780209616,58.04277118883635,"point-pus"
"103.jpg",536.0953876387176,100.1480423776727,536.0953876387176,100.1480423776727,"point-pus"
"103.jpg",567.6613555795315,198.04277921977797,567.6613555795315,198.04277921977797,"point-pus"
"103.jpg",551.8783716091245,135.9375,551.8783716091245,135.9375,"point-pus"
"103.jpg",481.029601029601,31.589673913043352,588.3864244920233,213.69495313282133,"c-pus"
"103.jpg",507.6860164919852,367.5164794921875,557.1393341553637,418.0427952816612,"pus"
"103.jpg",197.68339768339757,97.75742869082524,538.1381716537965,461.3272311212815,"c-ep"
"103.jpg",336.61091336872585,188.70137299771167,336.61091336872585,188.70137299771167,"point-ep"
"103.jpg",354.18275418275414,382.0194675611413,354.18275418275414,382.0194675611413,"point-ep"
"103.jpg",422.2737190315315,306.2299938769308,422.2737190315315,306.2299938769308,"point-ep"
"103.jpg",275.1093951093951,276.5732433048484,275.1093951093951,276.5732433048484,"point-ep"
"103.jpg",601.2870012870012,183.2094156714817,635.3325088481338,217.25974216068366,"pus"
"103.jpg",635.3325088481338,196.39019370351832,673.7709137709137,235.93252779962816,"pus"
"103.jpg",192.74131274131273,503.94166435747997,239.96571348133847,555.566395076516,"pus"
"103.jpg",45.57703909266409,637.9462577767449,100.48906048906048,691.7678015946797,"pus"
"103.jpg",1199.8284668597169,391.9050510851688,1199.8284668597169,391.9050510851688,"point-pus"
"103.jpg",1228.3827018983268,368.83868952910467,1228.3827018983268,368.83868952910467,"point-pus"
"103.jpg",1178.9618524774774,346.87070938215106,1256.9369369369367,419.3649885583524,"c-pus"
"106.jpg",960.1857585139319,268.0183486238532,1000.6656346749226,305.1536697247707,"rbc"
"106.jpg",1082.8637770897833,194.03669724770643,1116.7853457172343,228.72075688073394,"rbc"
"106.jpg",355.3953699073243,0,400.88779284833544,35.726490825688074,"rbc"
"106.jpg",629.7410604192355,332.7796373869243,664.4636251541307,369.6217105263158,"rbc"
"106.jpg",731.977759009009,338.0835575479119,774.8091618404118,379.82265446224255,"rbc"
"106.jpg",1169.0776825933076,614.8798962206807,1207.5160875160875,651.1270358087814,"rbc"
